trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
84,True,"{'a': 0, 'e': 0}",25,11,22.684549778090194,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,True,"{'a': 0, 'e': 0}",30,0,40.73132605132313,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,True,"{'a': 0, 'e': 0}",25,1,37.53442715064244,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,True,"{'a': 0, 'e': 0}",20,8,14.931092218254955,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,True,"{'a': 0, 'e': 0}",25,0,37.21590655010427,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
89,True,"{'a': 0, 'e': 0}",20,9,15.935988286973314,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,True,"{'a': 0, 'e': 0}",20,0,32.18213717164322,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
91,True,"{'a': 0, 'e': 0}",35,21,27.22360384386237,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,True,"{'a': 0, 'e': 0}",20,10,18.485742318013155,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,True,"{'a': 0, 'e': 0}",25,1,37.29612216916977,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,True,"{'a': 0, 'e': 0}",30,23,-28.136429116585923,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
95,True,"{'a': 0, 'e': 0}",30,0,42.21121971835948,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,True,"{'a': 0, 'e': 0}",25,0,39.58221140263302,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,True,"{'a': 0, 'e': 0}",35,0,46.82431452160384,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
98,True,"{'a': 0, 'e': 0}",20,0,27.594342988675812,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
99,True,"{'a': 0, 'e': 0}",20,0,25.995703503441685,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
100,True,"{'a': 0, 'e': 0}",25,0,31.03594828947016,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
