trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
223,False,"{'a': 0.005, 'e': 0.440177483716293}",25,0,-35.15645824642214,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
224,False,"{'a': 0.005, 'e': 0.43568244627671204}",25,0,-111.64251373010433,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
225,False,"{'a': 0.005, 'e': 0.4311765167986662}",35,14,-69.60953900080524,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 1}",1
226,False,"{'a': 0.005, 'e': 0.42665980793015723}",20,3,6.8277601736717095,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.005, 'e': 0.422132432588672}",20,0,-37.49979608264289,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
228,False,"{'a': 0.005, 'e': 0.41759450395835795}",25,15,4.177939810984418,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
229,False,"{'a': 0.005, 'e': 0.4130461354871949}",25,18,6.132870012681414,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.005, 'e': 0.40848744088415717}",25,0,-12.419180346323309,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
231,False,"{'a': 0.005, 'e': 0.40391853411637296}",25,20,8.895930409314968,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.005, 'e': 0.3993395294062732}",20,8,9.794358877911508,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
233,False,"{'a': 0.005, 'e': 0.39475054122873704}",25,14,-24.807093416424983,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
234,False,"{'a': 0.005, 'e': 0.3901516843082303}",20,6,14.34685820971615,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
235,False,"{'a': 0.005, 'e': 0.385543073615936}",35,23,-16.754366028943817,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
236,False,"{'a': 0.005, 'e': 0.3809248243668818}",30,0,-57.450763987833994,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
237,False,"{'a': 0.005, 'e': 0.3762970520170581}",25,13,7.947302628097634,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
238,False,"{'a': 0.005, 'e': 0.371659872260533}",25,15,-2.528111232221231,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
239,False,"{'a': 0.005, 'e': 0.3670134010265584}",30,16,14.55680978782664,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
240,False,"{'a': 0.005, 'e': 0.3623577544766736}",25,7,19.487753129778685,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.005, 'e': 0.3576930490017995}",20,11,-6.727041841583234,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
