trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
78,False,"{'a': 0.02, 'e': 0.030791459082466124}",20,15,9.557319226143793,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.02, 'e': 0.010796117058267392}",30,20,10.365461547887133,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.02, 'e': -0.009203543268808336}",20,10,18.312687670643186,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,16,15.367380938968713,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,9,21.549041019604687,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,12,21.255164344731792,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,12,24.502805763087473,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,12,14.136173317171473,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,12,24.3308600962269,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,9,24.13703848019393,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,15,11.964461180299054,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,8,37.50016872186728,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,14,10.507889538470785,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
