trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.025, 'e': 1.0}",25,0,-198.28441564924512,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 4}",0
2,False,"{'a': 0.025, 'e': 0.9996875162757026}",20,0,-62.89229940645026,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.025, 'e': 0.9987502603949663}",30,0,-158.7561513936065,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.025, 'e': 0.9971888181122075}",20,0,-152.097532741126,"{0: 7, 1: 3, 2: 8, 3: 1, 4: 1}",0
5,False,"{'a': 0.025, 'e': 0.9950041652780257}",35,0,-354.4128448558789,"{0: 13, 1: 8, 2: 7, 3: 1, 4: 6}",0
6,False,"{'a': 0.025, 'e': 0.992197667229329}",30,0,-80.2610531778278,"{0: 20, 1: 6, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.025, 'e': 0.9887710779360422}",20,0,-53.04347767894061,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.025, 'e': 0.9847265389049334}",25,0,-188.0491850620168,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
9,False,"{'a': 0.025, 'e': 0.9800665778412416}",35,0,-67.95933217706259,"{0: 26, 1: 4, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.025, 'e': 0.9747941070689433}",20,0,-126.55002116018453,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
11,False,"{'a': 0.025, 'e': 0.9689124217106447}",20,0,-104.58054031685641,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.025, 'e': 0.962425197628238}",20,0,-115.41313642602773,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.025, 'e': 0.955336489125606}",20,0,-103.49586520685067,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.025, 'e': 0.9476507264148157}",20,0,-161.0119256761806,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.025, 'e': 0.9393727128473789}",20,0,-39.03184818462545,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.025, 'e': 0.9305076219123143}",20,0,-79.24187399342206,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.025, 'e': 0.9210609940028851}",30,0,-115.47734104676371,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
18,False,"{'a': 0.025, 'e': 0.9110387329540337}",30,0,-156.3894697718853,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
19,False,"{'a': 0.025, 'e': 0.9004471023526769}",25,0,-129.56924541236634,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
20,False,"{'a': 0.025, 'e': 0.8892927216231682}",25,0,-102.38666361628506,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
21,False,"{'a': 0.025, 'e': 0.8775825618903728}",20,0,-116.65438007785811,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
22,False,"{'a': 0.025, 'e': 0.8653239416229412}",25,0,-126.84557465521758,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
23,False,"{'a': 0.025, 'e': 0.8525245220595057}",25,0,-75.11976292876192,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 1}",0
